frame.number,frame.time_relative,_ws.col.Protocol,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport
"287","16.320072000","TLSv1.2","6","192.168.68.126","35.173.87.46","55904","443",,
"288","16.322507000","TCP","6","162.159.130.232","192.168.68.126","443","55900",,
"289","16.322510000","TCP","6","162.159.130.232","192.168.68.126","443","55900",,
"290","16.322511000","TCP","6","162.159.130.232","192.168.68.126","443","55900",,
"291","16.322512000","TLSv1.3","6","162.159.133.232","192.168.68.126","443","55899",,
"292","16.322513000","TLSv1.3","6","162.159.130.232","192.168.68.126","443","55900",,
"293","16.322596000","TCP","6","192.168.68.126","162.159.133.232","55899","443",,
"294","16.322597000","TCP","6","192.168.68.126","162.159.130.232","55900","443",,
"295","16.322804000","TLSv1.3","6","192.168.68.126","162.159.133.232","55899","443",,
"296","16.322805000","TLSv1.3","6","192.168.68.126","162.159.130.232","55900","443",,
"297","16.328480000","TLSv1.2","6","192.168.68.126","35.173.87.46","55905","443",,
"298","16.328572000","TCP","6","35.173.87.46","192.168.68.126","443","55901",,
"299","16.332274000","UDP","17","192.168.68.105","192.168.68.255",,,"889","889"
"300","16.334903000","TLSv1.2","6","35.173.87.46","192.168.68.126","443","55901",,
"301","16.334962000","TCP","6","192.168.68.126","35.173.87.46","55901","443",,
"302","16.338108000","TLSv1.2","6","35.173.87.46","192.168.68.126","443","55902",,
"303","16.338166000","TCP","6","192.168.68.126","35.173.87.46","55902","443",,
"304","16.339161000","TLSv1.2","6","192.168.68.126","35.173.87.46","55902","443",,
"305","16.339318000","TLSv1.2","6","192.168.68.126","35.173.87.46","55902","443",,
"306","16.356089000","TLSv1.2","6","35.173.87.46","192.168.68.126","443","55903",,
"307","16.356092000","TCP","6","162.159.133.232","192.168.68.126","443","55899",,
"308","16.356156000","TCP","6","192.168.68.126","35.173.87.46","55903","443",,
"309","16.357237000","TLSv1.2","6","192.168.68.126","35.173.87.46","55903","443",,
"310","16.357393000","TLSv1.2","6","192.168.68.126","35.173.87.46","55903","443",,
"311","16.358432000","TCP","6","162.159.130.232","192.168.68.126","443","55900",,
"312","16.366917000","TLSv1.2","6","35.173.87.46","192.168.68.126","443","55904",,
"313","16.366977000","TCP","6","192.168.68.126","35.173.87.46","55904","443",,
"314","16.367789000","TLSv1.2","6","192.168.68.126","35.173.87.46","55904","443",,
"315","16.367894000","TLSv1.2","6","192.168.68.126","35.173.87.46","55904","443",,
"316","16.375397000","TLSv1.2","6","35.173.87.46","192.168.68.126","443","55905",,
"317","16.375453000","TCP","6","192.168.68.126","35.173.87.46","55905","443",,
"318","16.376444000","TLSv1.2","6","192.168.68.126","35.173.87.46","55905","443",,
"319","16.376703000","TLSv1.2","6","192.168.68.126","35.173.87.46","55905","443",,
"320","16.384124000","TCP","6","162.159.128.232","192.168.68.126","443","55898",,
"321","16.388850000","TCP","6","35.173.87.46","192.168.68.126","443","55902",,
"322","16.388853000","TLSv1.2","6","35.173.87.46","192.168.68.126","443","55902",,
"323","16.388914000","TCP","6","192.168.68.126","35.173.87.46","55902","443",,
"324","16.406054000","TCP","6","35.173.87.46","192.168.68.126","443","55903",,
"325","16.406057000","TLSv1.2","6","35.173.87.46","192.168.68.126","443","55903",,
"326","16.406110000","TCP","6","192.168.68.126","35.173.87.46","55903","443",,
"327","16.411907000","TCP","6","35.173.87.46","192.168.68.126","443","55904",,
"328","16.411911000","TLSv1.2","6","35.173.87.46","192.168.68.126","443","55904",,
"329","16.411989000","TCP","6","192.168.68.126","35.173.87.46","55904","443",,
"330","16.420950000","TCP","6","35.173.87.46","192.168.68.126","443","55905",,
"331","16.420953000","TLSv1.2","6","35.173.87.46","192.168.68.126","443","55905",,
"332","16.421016000","TCP","6","192.168.68.126","35.173.87.46","55905","443",,
"333","16.477963000","TLSv1.3","6","162.159.133.232","192.168.68.126","443","55899",,
"334","16.477967000","TLSv1.3","6","162.159.133.232","192.168.68.126","443","55899",,
"335","16.477968000","TLSv1.3","6","162.159.133.232","192.168.68.126","443","55899",,
"336","16.477969000","TLSv1.3","6","162.159.133.232","192.168.68.126","443","55899",,
"337","16.477970000","TLSv1.3","6","162.159.133.232","192.168.68.126","443","55899",,
"338","16.478033000","TCP","6","192.168.68.126","162.159.133.232","55899","443",,
"339","16.478072000","TCP","6","192.168.68.126","162.159.133.232","55899","443",,
"340","16.478073000","TCP","6","192.168.68.126","162.159.133.232","55899","443",,
"341","16.478073000","TCP","6","192.168.68.126","162.159.133.232","55899","443",,
"342","16.478073000","TCP","6","192.168.68.126","162.159.133.232","55899","443",,
"343","16.478085000","TCP","6","192.168.68.126","162.159.133.232","55899","443",,
"344","16.483729000","DNS","17","192.168.68.126","71.10.216.1",,,"51142","53"
"345","16.522891000","DNS","17","71.10.216.1","192.168.68.126",,,"53","51142"
"346","16.523253000","TCP","6","192.168.68.126","35.190.80.1","55906","443",,
"347","16.524451000","TLSv1.2","6","192.168.68.126","35.173.87.46","55894","443",,
"348","16.524597000","TLSv1.2","6","192.168.68.126","35.173.87.46","55894","443",,
"349","16.553615000","TCP","6","35.190.80.1","192.168.68.126","443","55906",,
"350","16.553681000","TCP","6","192.168.68.126","35.190.80.1","55906","443",,
"351","16.553888000","TLSv1","6","192.168.68.126","35.190.80.1","55906","443",,
"352","16.554711000","TLSv1.2","6","192.168.68.126","35.173.87.46","55901","443",,
